name,ra,e_ra,dec,e_dec,total_flux,e_total_flux,peak_flux,e_peak_flux,dc_maj,e_dc_maj,dc_min,e_dc_min,dc_pa,e_dc_pa,isl_rms,s_code
APTF_J221158+423300,332.993437664003,1.52552960451104,42.550020755265,1.96846775091466,0.53145370252788,0.0902868533286439,0.42126670098249,0.0459773836306186,11.795395502592,6.41526773267139,5.536284698232,3.59775083172634,16.2122869673114,27.1928343138642,0.04143129991,S
APTF_J221154+423402,332.976131330394,0.608241869725696,42.5674053597694,0.473279229505872,14.7566665836671,0.742025294935146,12.7550105978533,0.638948348279064,10.42130719368,0.237186521887186,3.66874801596,0.109090817626977,2.07438890767936,0.265911145697459,0.0406895997,S
APTF_J221211+423556,333.046985672128,1.5524679962812,42.5990269616362,1.90084115028563,0.46853135263968,0.0811609439542461,0.37632359440599,0.0421025210548914,9.373590464364,6.90880607841692,5.340567159216,3.64782702692548,47.3987761152926,68.1326463824275,0.03742753324,S
APTF_J221305+422807,333.274562443579,2.04309498033794,42.4687374208528,2.81543335054642,0.27311336768562,0.0764182307338868,0.24022432232304,0.0402465314487083,9.50782092084,9.80015982170328,0.0,8.6706305760565,-50.4224719435255,63.6635545376096,0.03915340494,S
APTF_J221309+422745,333.289831441422,2.3181427879451,42.4626847327335,3.31183849512594,0.29843246729439,0.0881148504279899,0.21675168111168,0.0404393116250045,15.516107511552,10.015058635491,0.0,11.1016451391421,39.8113284318285,40.7709801472397,0.03882803867,S
APTF_J221300+422820,333.251662533903,1.60278351943083,42.4724997552993,2.08880849626507,0.48514882880574,0.0888016175861105,0.36352074120153,0.0433045593604902,11.459130945984,6.9832035631391,7.734747157704,5.57926752705291,5.36454392103047,28.0117527559178,0.03902689787,S
APTF_J221251+423055,333.215425989868,2.00289232874609,42.5152948502575,2.56304330060805,0.27093845587512,0.0732327165345635,0.24161142621198,0.0396272282365117,0.0,16.6915893101434,0.0,6.33975021607694,0.0,,0.03769967952,S
APTF_J221309+423057,333.289358519324,1.71798234893531,42.5158943146849,2.32663196167479,0.31962764271504,0.070312671263402,0.28203009912858,0.0374489327639882,9.595121132772,8.42559210992089,0.0,6.86015007942569,32.0950583665055,43.2986798313507,0.03587742322,S
APTF_J221307+423332,333.280951215543,1.90849082563604,42.5589850711433,2.55071113038035,0.27372905627661,0.0693618986635837,0.23581725190848,0.0363888936147632,9.11219774292,9.27168947137294,0.0,8.68069527744128,52.6746744483594,73.0244527387381,0.03474614641,S
APTF_J221346+423125,333.44277993707,2.16539162326177,42.5237630062853,3.35613095697191,0.27422380297389,0.0802080719166701,0.21211625458089,0.0379963798462084,14.436452276928,10.23562299546,2.907551747664,5.8330960290547,-23.6424042057431,33.4962754865517,0.03742254557,S
