======================================================================
TMT v2.0 - TEST SUR DONNÉES SPARC RÉELLES
======================================================================

Échantillon: 175 galaxies

Loi calibrée:
  k = 3.9689 × (M/10^10)^-0.480
  R² = 0.3736

Paramètres optimaux:
  r_c médian = 4.9 kpc
  n médian   = 0.57

Performance:
  Amélioration médiane: 97.5%
  Galaxies améliorées: 169/175

======================================================================
DÉTAILS PAR GALAXIE
======================================================================

Galaxie            M_bary    k_opt      r_c      n   Improv
UGC00191         3.82e+09    7.108      0.1   0.26    97.8%
F571-V1          3.74e+09    7.508      0.1   0.32    99.6%
UGC06628         3.71e+09    0.306    200.0   0.45   -18.4%
UGC07089         3.69e+09    5.271      2.6   0.69    98.9%
F574-2           3.66e+09    0.203     57.2   1.24   -13.5%
UGC07323         3.62e+09    6.416      1.1   0.33    99.3%
UGC00731         3.45e+09    9.237      0.1   0.33    74.3%
UGC12632         3.33e+09    8.151      0.1   0.30    92.8%
UGC04278         3.22e+09   16.591      0.1   0.40    91.2%
NGC0024          3.20e+09   14.014      0.1   0.40    97.5%
UGC06446         3.15e+09   14.073      0.1   0.39    93.8%
UGC04499         3.02e+09    7.459      0.1   0.23    98.9%
NGC0300          2.99e+09   11.011      0.5   0.58    99.4%
UGC10310         2.85e+09    8.156      0.1   0.24    92.5%
NGC0100          2.85e+09   10.218      1.8   1.01    99.9%
UGC02455         2.82e+09    0.001     50.2   5.00   -33.3%
UGC06923         2.75e+09    7.761      2.1   0.82    97.5%
UGC06399         2.73e+09   12.466      0.1   0.34    99.6%
DDO161           2.69e+09    5.038      3.6   1.00    99.6%
UGC05716         2.53e+09   10.577      0.1   0.36    97.0%
F567-2           2.53e+09    6.287      0.1   0.19    89.1%
UGC07151         2.49e+09   10.637      0.1   0.20    98.7%
UGC04325         2.45e+09   16.644      0.1   0.36    89.3%
IC2574           2.44e+09    8.453      0.1   0.30    99.2%
UGC07261         2.32e+09   10.966      0.1   0.27    96.4%
UGC02259         2.32e+09   16.607      0.1   0.40    96.8%
UGC05829         2.25e+09    8.520      0.1   0.25    87.0%
DDO170           2.10e+09    6.800      0.1   0.27    98.4%
UGC08286         2.00e+09   17.441      0.1   0.42    97.8%
NGC2976          1.90e+09    9.783      4.8   0.20    96.9%
F565-V2          1.86e+09   17.203      0.1   0.45    97.9%
UGC08490         1.71e+09   16.985      0.2   0.48    99.7%
UGC06818         1.69e+09    9.608      2.8   1.76    95.5%
UGC06667         1.62e+09   24.752      0.1   0.52    86.2%
